listing_id,project_id,district_old,ward_old,ward_2025,beltway_zone,area_m2,size_band,bedrooms,bathrooms,rent_monthly_million_vnd_input,rent_monthly_vnd,project_name
RCG0055,CG086,Cau Giay,Trung Hoa,Yen Hoa,2.5-3,74.0,Medium,2.0,2.0,23.0,23000000.0,Vinhomes D'Capitale
RCG0060,CG086,Cau Giay,Trung Hoa,Yen Hoa,2.5-3,68.0,Medium,2.0,2.0,21.0,21000000.0,Vinhomes D'Capitale
RCG0069,CG014,Cau Giay,Trung Hoa,Yen Hoa,2.5-3,55.0,Small,2.0,2.0,18.0,18000000.0,A14B1 Nam Trung Yen Apartment
RCG0071,CG081,Cau Giay,Trung Hoa,Yen Hoa,2.5-3,95.0,Large,2.0,2.0,18.0,18000000.0,Udic Complex
RCG0073,CG073,Cau Giay,Trung Hoa,Dai Mo,3-3.5,88.0,Large,2.0,2.0,17.0,17000000.0,Thang Long Number One
RCG0075,CG084,Cau Giay,Trung Hoa,Yen Hoa,2.5-3,90.0,Large,2.0,2.0,14.0,14000000.0,Vimeco I (Pham Hung)
RCG0077,CG086,Cau Giay,Trung Hoa,Yen Hoa,2.5-3,62.0,Medium,2.0,2.0,22.0,22000000.0,Vinhomes D'Capitale
RCG0081,CG012,Cau Giay,Trung Hoa,Yen Hoa,2.5-3,80.0,Large,2.0,2.0,12.0,12000000.0,A10 Nam Trung Yen Apartment
RCG0087,CG086,Cau Giay,Trung Hoa,Yen Hoa,2.5-3,75.0,Medium,2.0,2.0,19.0,19000000.0,Vinhomes D'Capitale
RCG0089,CG073,Cau Giay,Trung Hoa,Dai Mo,3-3.5,95.0,Large,2.0,2.0,18.0,18000000.0,Thang Long Number One
RCG0098,CG073,Cau Giay,Trung Hoa,Dai Mo,3-3.5,90.0,Large,2.0,2.0,17.0,17000000.0,Thang Long Number One
RCG0099,CG086,Cau Giay,Trung Hoa,Yen Hoa,2.5-3,70.0,Medium,2.0,2.0,19.0,19000000.0,Vinhomes D'Capitale
RCG0100,CG081,Cau Giay,Trung Hoa,Yen Hoa,2.5-3,90.0,Large,2.0,2.0,18.0,18000000.0,Udic Complex
RCG0101,CG014,Cau Giay,Trung Hoa,Yen Hoa,2.5-3,60.0,Medium,2.0,1.0,13.5,13500000.0,A14B1 Nam Trung Yen Apartment
RCG0102,CG081,Cau Giay,Trung Hoa,Yen Hoa,2.5-3,95.0,Large,2.0,2.0,18.0,18000000.0,Udic Complex
RCG0103,CG073,Cau Giay,Trung Hoa,Dai Mo,3-3.5,90.0,Large,2.0,2.0,16.0,16000000.0,Thang Long Number One
RCG0105,CG037,Cau Giay,Trung Hoa,Yen Hoa,2-2.5,100.0,Large,2.0,2.0,16.0,16000000.0,Eurowindow Multi Complex
RCG0106,CG090,Cau Giay,Trung Hoa,Yen Hoa,2-2.5,75.0,Medium,2.0,2.0,13.0,13000000.0,Yen Hoa Sunshine
RCG0119,CG086,Cau Giay,Trung Hoa,Yen Hoa,2.5-3,70.0,Medium,2.0,2.0,23.0,23000000.0,Vinhomes D'Capitale
RCG0121,CG086,Cau Giay,Trung Hoa,Yen Hoa,2.5-3,60.0,Medium,2.0,1.0,17.0,17000000.0,Vinhomes D'Capitale
RCG0122,CG086,Cau Giay,Trung Hoa,Yen Hoa,2.5-3,72.0,Medium,2.0,2.0,19.0,19000000.0,Vinhomes D'Capitale
RCG0123,CG073,Cau Giay,Trung Hoa,Dai Mo,3-3.5,87.0,Large,2.0,2.0,16.0,16000000.0,Thang Long Number One
RCG0125,CG037,Cau Giay,Trung Hoa,Yen Hoa,2-2.5,95.0,Large,2.0,2.0,14.0,14000000.0,Eurowindow Multi Complex
RCG0127,CG086,Cau Giay,Trung Hoa,Yen Hoa,2.5-3,68.0,Medium,2.0,2.0,19.0,19000000.0,Vinhomes D'Capitale
RCG0128,CG086,Cau Giay,Trung Hoa,Yen Hoa,2.5-3,72.0,Medium,2.0,2.0,19.0,19000000.0,Vinhomes D'Capitale
RCG0129,CG086,Cau Giay,Trung Hoa,Yen Hoa,2.5-3,68.0,Medium,2.0,2.0,20.0,20000000.0,Vinhomes D'Capitale
